"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:02:46.013","Pass","Spain","Gerard Piqué Bernabéu","Regular Play"
"00:02:46.120","Pressure","Iran","Vahid Amiri","Regular Play"
"00:02:46.693","Ball Receipt*","Spain","David Josué Jiménez Silva","Regular Play"
"00:02:46.693","Carry","Spain","David Josué Jiménez Silva","Regular Play"
"00:02:46.893","Pass","Spain","David Josué Jiménez Silva","Regular Play"
"00:02:47.613","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:47.613","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:49.573","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:50.693","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:02:50.693","Carry","Spain","Sergio Ramos García","Regular Play"
"00:02:51.853","Pass","Spain","Sergio Ramos García","Regular Play"
"00:02:53.133","Ball Receipt*","Spain","Andrés Iniesta Luján","Regular Play"
"00:02:53.133","Carry","Spain","Andrés Iniesta Luján","Regular Play"
"00:02:55.093","Pass","Spain","Andrés Iniesta Luján","Regular Play"
"00:02:55.360","Pressure","Iran","Saeid Ezatolahi Afagh","Regular Play"
"00:02:55.933","Ball Receipt*","Spain","Diego da Silva Costa","Regular Play"
"00:02:55.933","Pass","Spain","Diego da Silva Costa","Regular Play"
"00:02:56.453","Ball Receipt*","Spain","Sergio Ramos García","Regular Play"
"00:02:56.453","Carry","Spain","Sergio Ramos García","Regular Play"
"00:02:57.613","Pass","Spain","Sergio Ramos García","Regular Play"
"00:02:58.973","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:58.973","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:02:59.760","Pressure","Iran","Vahid Amiri","Regular Play"
"00:03:00.320","Pass","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:02.480","Ball Receipt*","Spain","Diego da Silva Costa","Regular Play"
"00:03:02.480","Goal Keeper","Iran","Alireza Safar Beiranvand","Regular Play"
"00:03:04.853","Ball Recovery","Spain","Sergio Ramos García","Regular Play"
"00:03:04.853","Carry","Spain","Sergio Ramos García","Regular Play"
"00:03:06.240","Pressure","Iran","Omid Ebrahimi","Regular Play"
"00:03:07.440","Pass","Spain","Sergio Ramos García","Regular Play"
"00:03:09.080","Pressure","Iran","Vahid Amiri","Regular Play"
"00:03:09.093","Ball Receipt*","Spain","Francisco Román Alarcón Suárez","Regular Play"
"00:03:09.093","Carry","Spain","Francisco Román Alarcón Suárez","Regular Play"
