"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:10:30.689","Carry","France","Corentin Tolisso","Regular Play"
"00:10:32.196","Pass","France","Corentin Tolisso","Regular Play"
"00:10:34.009","Ball Receipt*","France","Kylian Mbappé Lottin","Regular Play"
"00:10:34.009","Pass","Australia","Mark Milligan","Regular Play"
"00:10:35.769","Ball Receipt*","Australia","Mathew Ryan","Regular Play"
"00:10:35.769","Carry","Australia","Mathew Ryan","Regular Play"
"00:10:38.889","Pass","Australia","Mathew Ryan","Regular Play"
"00:10:41.249","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
"00:10:41.249","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:10:46.636","Pressure","France","N''Golo Kanté","Regular Play"
"00:10:47.129","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:10:48.129","Ball Receipt*","Australia","Tom Rogić","Regular Play"
"00:10:48.476","Foul Committed","France","Benjamin Pavard","Regular Play"
"00:10:48.476","Foul Won","Australia","Tom Rogić","Regular Play"
"00:11:49.449","Pass","Australia","Aaron Mooy","From Free Kick"
"00:11:50.475","Ball Receipt*","Australia","Mathew Leckie","From Free Kick"
"00:11:50.476","Duel","France","Benjamin Pavard","From Free Kick"
"00:11:50.476","Shot","Australia","Mathew Leckie","From Free Kick"
"00:11:51.729","Goal Keeper","France","Hugo Lloris","From Free Kick"
"00:12:04.356","Camera On","France",NA,"Regular Play"
"00:12:06.436","Pass","France","Samuel Yves Umtiti","Regular Play"
"00:12:07.849","Ball Receipt*","France","N''Golo Kanté","Regular Play"
"00:12:07.849","Carry","France","N''Golo Kanté","Regular Play"
"00:12:09.769","Pass","France","N''Golo Kanté","Regular Play"
"00:12:11.048","Ball Receipt*","France","Corentin Tolisso","Regular Play"
"00:12:11.048","Carry","France","Corentin Tolisso","Regular Play"
"00:12:14.289","Pass","France","Corentin Tolisso","Regular Play"
"00:12:15.488","Ball Receipt*","France","Paul Pogba","Regular Play"
"00:12:15.488","Carry","France","Paul Pogba","Regular Play"
"00:12:17.076","Pass","France","Paul Pogba","Regular Play"
"00:12:18.836","Ball Receipt*","France","Antoine Griezmann","Regular Play"
"00:12:18.876","Pass","France","Antoine Griezmann","Regular Play"
"00:12:20.836","Foul Committed","Australia","Mathew Leckie","Regular Play"
"00:12:20.836","Foul Won","France","Lucas Hernández Pi","Regular Play"
"00:13:14.396","Pass","France","Antoine Griezmann","From Free Kick"
"00:13:16.076","Clearance","Australia","Aaron Mooy","From Free Kick"
"00:13:38.636","Pass","France","Ousmane Dembélé","From Corner"
"00:13:39.889","Clearance","Australia","Tom Rogić","From Corner"
"00:13:43.436","Pass","France","Corentin Tolisso","From Corner"
"00:13:45.009","Pass","Australia","Aziz Eraltay Behich","From Corner"
"00:13:48.716","Pass","France","Corentin Tolisso","From Corner"
"00:13:49.689","Ball Receipt*","France","Benjamin Pavard","From Corner"
